Date,Open*,High,Low,Close**,Volume,Market Cap
9-Jun-21,$352.77 ,$378.74 ,$334.42 ,$375.73 ,"$3,543,408,536 ","$57,650,059,188 "
8-Jun-21,$358.17 ,$365.92 ,$320.24 ,$354.00 ,"$4,491,122,307 ","$54,315,456,382 "
7-Jun-21,$393.65 ,$407.38 ,$355.98 ,$357.31 ,"$2,927,240,962 ","$54,823,141,744 "
6-Jun-21,$390.24 ,$400.04 ,$382.34 ,$393.82 ,"$2,101,917,655 ","$60,424,976,236 "
5-Jun-21,$390.96 ,$425.90 ,$375.07 ,$390.43 ,"$3,956,143,113 ","$59,905,089,190 "
4-Jun-21,$428.19 ,$428.44 ,$366.27 ,$391.40 ,"$4,951,450,795 ","$60,052,916,384 "
3-Jun-21,$401.76 ,$432.31 ,$392.03 ,$427.81 ,"$4,370,188,399 ","$65,639,810,000 "
2-Jun-21,$362.36 ,$418.67 ,$350.96 ,$401.26 ,"$4,486,850,584 ","$61,566,839,406 "
1-Jun-21,$353.78 ,$364.32 ,$340.47 ,$362.79 ,"$3,425,775,257 ","$55,664,633,494 "
31-May-21,$325.81 ,$355.98 ,$307.94 ,$354.33 ,"$3,865,691,845 ","$54,365,777,869 "
30-May-21,$305.04 ,$337.74 ,$292.85 ,$325.78 ,"$3,246,314,973 ","$49,985,988,837 "
29-May-21,$328.99 ,$346.92 ,$296.57 ,$305.05 ,"$3,070,017,878 ","$46,805,037,636 "
28-May-21,$369.84 ,$373.31 ,$313.72 ,$329.88 ,"$4,482,824,807 ","$50,614,430,478 "
27-May-21,$379.69 ,$387.49 ,$340.89 ,$367.66 ,"$3,965,850,350 ","$56,410,493,527 "
26-May-21,$343.53 ,$387.77 ,$337.06 ,$379.85 ,"$4,502,557,689 ","$58,282,146,665 "
25-May-21,$345.49 ,$374.60 ,$307.73 ,$344.11 ,"$5,656,677,341 ","$52,798,403,677 "
24-May-21,$261.12 ,$350.27 ,$258.62 ,$345.31 ,"$6,066,277,282 ","$52,981,857,815 "
23-May-21,$300.04 ,$313.53 ,$213.52 ,$262.95 ,"$5,336,233,746 ","$40,344,516,407 "
22-May-21,$326.80 ,$335.73 ,$285.35 ,$299.50 ,"$3,871,242,832 ","$45,953,780,782 "
21-May-21,$391.54 ,$415.71 ,$275.39 ,$326.30 ,"$6,291,181,865 ","$50,064,589,685 "
20-May-21,$335.56 ,$424.29 ,$286.09 ,$393.61 ,"$7,093,839,295 ","$60,393,147,664 "
19-May-21,$508.86 ,$515.72 ,$283.45 ,$339.03 ,"$8,779,943,654 ","$52,017,662,499 "
18-May-21,$511.39 ,$534.18 ,$496.98 ,$508.02 ,"$3,548,216,902 ","$77,947,333,995 "
17-May-21,$564.45 ,$564.45 ,$486.00 ,$511.96 ,"$5,123,430,659 ","$78,552,180,732 "
16-May-21,$562.65 ,$606.00 ,$535.06 ,$562.83 ,"$4,047,395,255 ","$86,356,615,319 "
15-May-21,$602.55 ,$610.51 ,$561.17 ,$563.04 ,"$3,480,395,174 ","$86,389,113,997 "
14-May-21,$570.96 ,$614.49 ,$567.03 ,$603.13 ,"$3,735,474,448 ","$92,539,717,936 "
13-May-21,$592.95 ,$632.97 ,$530.24 ,$571.43 ,"$7,417,114,170 ","$87,676,856,077 "
12-May-21,$671.78 ,$684.14 ,$588.19 ,$588.19 ,"$4,311,561,442 ","$90,246,958,221 "
11-May-21,$631.24 ,$672.46 ,$623.25 ,$672.33 ,"$4,865,455,319 ","$103,158,145,076 "
10-May-21,$661.45 ,$690.93 ,$596.17 ,$631.35 ,"$5,157,435,389 ","$96,870,167,482 "
9-May-21,$646.31 ,$678.23 ,$631.47 ,$662.23 ,"$4,321,052,943 ","$101,607,648,678 "
8-May-21,$624.39 ,$657.54 ,$618.84 ,$646.10 ,"$3,910,931,715 ","$99,133,120,518 "
7-May-21,$634.01 ,$644.12 ,$612.16 ,$624.56 ,"$3,658,116,306 ","$95,828,556,591 "
6-May-21,$651.05 ,$653.41 ,$621.07 ,$633.28 ,"$3,975,000,211 ","$97,166,045,768 "
5-May-21,$609.33 ,$656.24 ,$605.17 ,$651.66 ,"$4,248,449,283 ","$99,986,497,074 "
4-May-21,$676.32 ,$676.92 ,$606.27 ,$611.20 ,"$5,728,175,230 ","$93,778,232,799 "
3-May-21,$621.90 ,$679.82 ,$621.90 ,$675.68 ,"$5,274,868,721 ","$103,672,165,463 "
2-May-21,$619.97 ,$628.62 ,$595.86 ,$622.10 ,"$3,765,184,551 ","$95,450,760,764 "
1-May-21,$622.47 ,$641.86 ,$611.30 ,$619.35 ,"$4,065,705,136 ","$95,028,239,640 "
30-Apr-21,$599.99 ,$627.78 ,$586.21 ,$624.08 ,"$5,741,358,048 ","$95,754,488,402 "
29-Apr-21,$562.87 ,$614.82 ,$554.28 ,$599.71 ,"$6,585,918,998 ","$92,014,712,105 "
28-Apr-21,$568.75 ,$578.89 ,$539.07 ,$562.63 ,"$3,648,784,689 ","$86,326,344,910 "
