Date,Open*,High,Low,Close**,Volume,Market Cap
9-Jun-21,"$33,416.98 ","$37,537.37 ","$32,475.87 ","$37,345.12 ","$53,972,919,008 ","$699,516,138,698 "
8-Jun-21,"$33,589.52 ","$34,017.39 ","$31,114.44 ","$33,472.63 ","$49,902,050,442 ","$626,954,944,879 "
7-Jun-21,"$35,835.27 ","$36,790.57 ","$33,480.64 ","$33,560.71 ","$33,683,936,663 ","$628,572,961,759 "
6-Jun-21,"$35,538.61 ","$36,436.42 ","$35,304.58 ","$35,862.38 ","$28,913,440,585 ","$671,652,557,855 "
5-Jun-21,"$36,880.16 ","$37,917.71 ","$34,900.41 ","$35,551.96 ","$35,959,473,399 ","$665,804,639,833 "
4-Jun-21,"$39,242.49 ","$39,242.49 ","$35,717.72 ","$36,894.41 ","$41,831,090,187 ","$690,915,072,093 "
3-Jun-21,"$37,599.41 ","$39,478.95 ","$37,243.97 ","$39,208.77 ","$35,460,750,427 ","$734,224,332,239 "
2-Jun-21,"$36,699.92 ","$38,231.34 ","$35,966.31 ","$37,575.18 ","$33,070,867,190 ","$703,599,671,425 "
1-Jun-21,"$37,293.79 ","$37,896.74 ","$35,787.09 ","$36,684.92 ","$34,639,423,297 ","$686,891,021,225 "
31-May-21,"$35,658.59 ","$37,468.25 ","$34,241.94 ","$37,332.85 ","$39,009,847,639 ","$698,990,486,185 "
30-May-21,"$34,607.41 ","$36,400.67 ","$33,520.74 ","$35,678.13 ","$31,646,080,921 ","$667,976,638,398 "
29-May-21,"$35,684.16 ","$37,234.50 ","$33,693.93 ","$34,616.07 ","$45,231,013,335 ","$648,061,013,208 "
28-May-21,"$38,507.08 ","$38,856.97 ","$34,779.04 ","$35,697.61 ","$55,200,191,952 ","$668,283,930,067 "
27-May-21,"$39,316.89 ","$40,379.62 ","$37,247.90 ","$38,436.97 ","$43,210,968,721 ","$719,538,129,128 "
26-May-21,"$38,392.62 ","$40,782.08 ","$37,905.83 ","$39,294.20 ","$51,346,735,160 ","$735,556,411,166 "
25-May-21,"$38,795.78 ","$39,776.35 ","$36,581.43 ","$38,402.22 ","$56,211,915,803 ","$718,829,377,408 "
24-May-21,"$34,700.36 ","$39,835.14 ","$34,551.08 ","$38,705.98 ","$67,359,584,098 ","$724,332,072,424 "
23-May-21,"$37,531.45 ","$38,289.22 ","$31,227.34 ","$34,770.58 ","$78,469,274,361 ","$650,686,270,744 "
22-May-21,"$37,371.03 ","$38,831.05 ","$35,383.68 ","$37,536.63 ","$57,377,273,240 ","$702,449,253,648 "
21-May-21,"$40,596.95 ","$42,172.17 ","$33,616.45 ","$37,304.69 ","$82,051,616,861 ","$698,108,789,817 "
20-May-21,"$36,753.67 ","$42,462.98 ","$35,050.62 ","$40,782.74 ","$88,281,943,359 ","$763,195,929,022 "
19-May-21,"$42,944.98 ","$43,546.12 ","$30,681.50 ","$37,002.44 ","$126,358,098,747 ","$692,452,570,147 "
18-May-21,"$43,488.06 ","$45,812.46 ","$42,367.83 ","$42,909.40 ","$56,187,365,084 ","$802,974,346,863 "
17-May-21,"$46,415.90 ","$46,623.56 ","$42,207.29 ","$43,537.51 ","$74,903,638,450 ","$814,701,646,509 "
16-May-21,"$46,716.64 ","$49,720.04 ","$43,963.35 ","$46,456.06 ","$64,047,871,555 ","$869,279,076,502 "
15-May-21,"$49,855.49 ","$50,639.67 ","$46,664.14 ","$46,760.19 ","$59,161,047,474 ","$874,931,019,742 "
14-May-21,"$49,682.98 ","$51,438.12 ","$48,868.58 ","$49,880.53 ","$55,737,497,453 ","$933,276,901,265 "
13-May-21,"$49,735.43 ","$51,330.84 ","$46,980.02 ","$49,716.19 ","$96,721,152,926 ","$930,161,010,060 "
12-May-21,"$56,714.53 ","$57,939.36 ","$49,150.53 ","$49,150.53 ","$75,215,403,907 ","$919,527,847,950 "
11-May-21,"$55,847.24 ","$56,872.54 ","$54,608.65 ","$56,704.57 ","$61,308,396,325 ","$1,060,790,877,192 "
10-May-21,"$58,250.87 ","$59,519.35 ","$54,071.46 ","$55,859.80 ","$71,776,546,298 ","$1,044,927,337,818 "
9-May-21,"$58,877.39 ","$59,210.88 ","$56,482.00 ","$58,232.32 ","$65,906,690,347 ","$1,089,244,557,676 "
8-May-21,"$57,352.77 ","$59,464.61 ","$56,975.21 ","$58,803.78 ","$65,382,980,634 ","$1,099,863,941,004 "
7-May-21,"$56,413.95 ","$58,606.63 ","$55,321.85 ","$57,356.40 ","$68,434,023,376 ","$1,072,727,435,210 "
6-May-21,"$57,441.31 ","$58,363.31 ","$55,382.51 ","$56,396.51 ","$69,523,285,106 ","$1,054,714,918,675 "
