Date,Open*,High,Low,Close**,Volume,Market Cap
9-Jun-21,$1.58 ,$1.63 ,$1.49 ,$1.62 ,"$3,551,319,865 ","$51,881,539,245 "
8-Jun-21,$1.57 ,$1.59 ,$1.40 ,$1.59 ,"$4,318,242,183 ","$50,706,647,036 "
7-Jun-21,$1.68 ,$1.74 ,$1.56 ,$1.56 ,"$2,644,319,967 ","$49,942,773,336 "
6-Jun-21,$1.66 ,$1.71 ,$1.65 ,$1.68 ,"$1,748,045,655 ","$53,617,195,304 "
5-Jun-21,$1.71 ,$1.78 ,$1.61 ,$1.66 ,"$2,969,362,191 ","$53,002,535,330 "
4-Jun-21,$1.85 ,$1.85 ,$1.61 ,$1.71 ,"$4,583,062,567 ","$54,660,628,031 "
3-Jun-21,$1.75 ,$1.89 ,$1.72 ,$1.84 ,"$3,443,770,332 ","$58,799,938,617 "
2-Jun-21,$1.74 ,$1.80 ,$1.72 ,$1.75 ,"$3,453,620,094 ","$55,999,771,168 "
1-Jun-21,$1.74 ,$1.78 ,$1.66 ,$1.73 ,"$4,123,980,990 ","$55,422,434,615 "
31-May-21,$1.58 ,$1.75 ,$1.53 ,$1.74 ,"$4,491,096,277 ","$55,678,821,518 "
30-May-21,$1.40 ,$1.69 ,$1.35 ,$1.58 ,"$4,974,774,760 ","$50,391,384,963 "
29-May-21,$1.51 ,$1.56 ,$1.34 ,$1.41 ,"$3,902,596,499 ","$44,926,744,594 "
28-May-21,$1.65 ,$1.68 ,$1.45 ,$1.51 ,"$5,373,114,660 ","$48,305,428,071 "
27-May-21,$1.78 ,$1.79 ,$1.61 ,$1.65 ,"$4,266,751,905 ","$52,585,624,036 "
26-May-21,$1.55 ,$1.83 ,$1.55 ,$1.78 ,"$6,638,876,193 ","$56,954,330,220 "
25-May-21,$1.55 ,$1.65 ,$1.44 ,$1.56 ,"$5,723,130,829 ","$49,691,394,706 "
24-May-21,$1.32 ,$1.60 ,$1.27 ,$1.55 ,"$7,365,907,636 ","$49,503,411,493 "
23-May-21,$1.47 ,$1.54 ,$1.06 ,$1.33 ,"$9,297,651,823 ","$42,345,452,944 "
