Date,Open*,High,Low,Close**,Volume,Market Cap
9-Jun-21,$21.66 ,$23.28 ,$20.44 ,$23.18 ,"$2,220,005,781 ","$22,049,780,789 "
8-Jun-21,$21.70 ,$22.27 ,$19.66 ,$21.75 ,"$2,653,898,124 ","$20,675,304,866 "
7-Jun-21,$24.20 ,$25.28 ,$21.43 ,$21.63 ,"$1,861,117,892 ","$20,452,577,185 "
6-Jun-21,$23.79 ,$24.46 ,$23.62 ,$24.20 ,"$1,187,622,849 ","$22,881,676,131 "
5-Jun-21,$25.02 ,$26.39 ,$23.06 ,$23.82 ,"$2,102,969,701 ","$22,512,800,467 "
4-Jun-21,$26.99 ,$26.99 ,$23.71 ,$25.01 ,"$2,801,117,143 ","$23,633,978,172 "
3-Jun-21,$25.94 ,$28.61 ,$25.75 ,$27.01 ,"$2,803,059,246 ","$25,520,462,773 "
2-Jun-21,$22.85 ,$26.84 ,$22.68 ,$25.96 ,"$2,962,777,621 ","$24,511,128,160 "
1-Jun-21,$23.30 ,$23.52 ,$21.75 ,$22.81 ,"$2,230,220,978 ","$21,534,458,659 "
31-May-21,$20.48 ,$23.43 ,$19.10 ,$23.43 ,"$2,651,300,356 ","$22,107,873,817 "
30-May-21,$19.86 ,$21.25 ,$18.56 ,$20.47 ,"$1,947,583,708 ","$19,308,719,942 "
29-May-21,$21.37 ,$22.27 ,$18.81 ,$19.86 ,"$2,392,272,347 ","$18,728,941,361 "
28-May-21,$23.98 ,$26.12 ,$20.13 ,$21.41 ,"$4,521,086,730 ","$20,182,855,365 "
27-May-21,$24.55 ,$24.90 ,$21.81 ,$23.85 ,"$2,755,550,527 ","$22,478,683,384 "
26-May-21,$22.19 ,$24.74 ,$21.67 ,$24.55 ,"$3,100,578,186 ","$23,128,780,887 "
25-May-21,$23.26 ,$24.20 ,$19.76 ,$22.13 ,"$3,303,527,397 ","$20,845,054,527 "
24-May-21,$17.92 ,$23.49 ,$17.21 ,$23.20 ,"$4,412,004,564 ","$21,843,419,360 "
23-May-21,$22.07 ,$23.46 ,$13.82 ,$18.03 ,"$6,002,858,936 ","$16,949,899,549 "
22-May-21,$24.47 ,$24.60 ,$20.48 ,$22.01 ,"$4,379,003,452 ","$20,693,927,991 "
21-May-21,$29.02 ,$30.98 ,$20.03 ,$24.46 ,"$6,442,011,513 ","$22,988,002,770 "
20-May-21,$25.06 ,$31.23 ,$21.28 ,$29.15 ,"$6,694,931,133 ","$27,386,147,609 "
19-May-21,$40.69 ,$41.34 ,$18.64 ,$25.23 ,"$10,069,997,172 ","$23,694,720,120 "
18-May-21,$38.63 ,$42.60 ,$37.85 ,$40.65 ,"$3,914,013,746 ","$38,165,764,962 "
17-May-21,$42.39 ,$42.39 ,$35.43 ,$38.71 ,"$4,779,518,016 ","$36,337,830,039 "
16-May-21,$43.53 ,$46.64 ,$39.45 ,$42.63 ,"$4,268,621,267 ","$40,009,764,155 "
15-May-21,$47.96 ,$49.69 ,$42.98 ,$43.54 ,"$6,487,556,686 ","$40,852,130,812 "
14-May-21,$39.97 ,$47.96 ,$39.46 ,$47.95 ,"$5,633,438,540 ","$44,973,584,933 "
13-May-21,$35.06 ,$41.79 ,$33.15 ,$40.03 ,"$7,032,709,584 ","$37,533,419,368 "
12-May-21,$38.65 ,$42.41 ,$34.03 ,$34.03 ,"$3,698,746,095 ","$31,900,616,639 "
11-May-21,$36.51 ,$38.64 ,$35.59 ,$38.64 ,"$2,263,017,018 ","$36,214,689,634 "
10-May-21,$40.30 ,$41.79 ,$32.66 ,$36.54 ,"$3,187,436,826 ","$34,235,729,961 "
9-May-21,$39.89 ,$40.55 ,$38.28 ,$40.31 ,"$2,294,525,692 ","$37,754,263,203 "
8-May-21,$39.88 ,$40.59 ,$38.78 ,$39.83 ,"$1,754,219,539 ","$37,295,541,911 "
7-May-21,$41.58 ,$42.58 ,$38.42 ,$39.93 ,"$3,016,255,239 ","$37,378,618,337 "
6-May-21,$40.44 ,$43.73 ,$38.06 ,$41.53 ,"$4,088,642,953 ","$38,870,956,123 "
5-May-21,$34.77 ,$40.72 ,$34.54 ,$40.50 ,"$3,300,471,923 ","$37,882,863,795 "
4-May-21,$37.26 ,$37.91 ,$34.63 ,$34.85 ,"$2,627,951,840 ","$32,587,842,121 "
