Date,Open*,High,Low,Close**,Volume,Market Cap
9-Jun-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$92,231,696,007 ","$62,411,541,573 "
8-Jun-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$96,727,203,765 ","$62,354,474,178 "
7-Jun-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$70,487,554,952 ","$62,295,343,953 "
6-Jun-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$54,108,953,419 ","$62,298,516,611 "
5-Jun-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$74,062,610,826 ","$62,228,700,924 "
4-Jun-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$92,563,710,563 ","$62,002,522,360 "
3-Jun-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$79,950,612,936 ","$61,706,136,009 "
2-Jun-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$80,399,629,557 ","$61,789,958,474 "
1-Jun-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$84,110,288,079 ","$61,790,048,179 "
31-May-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$87,983,357,586 ","$61,816,254,266 "
30-May-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$76,081,689,608 ","$61,742,398,036 "
29-May-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$93,338,666,927 ","$61,310,543,010 "
28-May-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$114,444,985,848 ","$61,155,331,787 "
27-May-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$98,115,089,359 ","$60,978,925,181 "
26-May-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$115,346,863,805 ","$60,814,128,036 "
25-May-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$133,337,899,988 ","$60,124,587,561 "
24-May-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$150,726,607,629 ","$59,817,790,390 "
23-May-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$166,357,484,552 ","$59,533,859,941 "
22-May-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$123,183,907,998 ","$59,506,803,491 "
21-May-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$175,788,781,082 ","$58,622,332,737 "
20-May-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$203,389,167,819 ","$58,126,966,085 "
19-May-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$279,067,455,600 ","$58,434,509,612 "
18-May-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$139,497,732,905 ","$58,213,884,694 "
17-May-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$174,105,627,753 ","$58,162,791,377 "
16-May-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$156,189,820,298 ","$58,308,356,801 "
15-May-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$160,240,116,663 ","$58,220,464,099 "
14-May-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$157,669,573,391 ","$57,753,866,538 "
13-May-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$238,503,239,903 ","$57,748,267,810 "
12-May-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$179,881,127,372 ","$57,285,613,367 "
11-May-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$175,304,543,466 ","$56,516,074,008 "
10-May-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$196,654,261,473 ","$55,799,111,960 "
9-May-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$177,124,716,916 ","$55,539,697,237 "
8-May-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$154,970,468,014 ","$55,270,281,442 "
7-May-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$195,953,903,780 ","$54,696,268,617 "
6-May-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$209,142,160,582 ","$53,567,235,043 "
5-May-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$194,666,058,568 ","$52,831,054,811 "
4-May-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$184,507,815,469 ","$52,165,642,161 "
3-May-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$115,365,514,515 ","$52,061,575,124 "
2-May-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$87,140,031,400 ","$51,788,836,340 "
1-May-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$93,561,408,428 ","$51,506,811,114 "
30-Apr-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$99,120,376,275 ","$50,995,492,789 "
29-Apr-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$93,716,158,086 ","$51,010,197,190 "
28-Apr-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$107,174,178,546 ","$50,928,908,903 "
27-Apr-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$100,848,882,802 ","$50,309,001,546 "
26-Apr-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$114,746,493,323 ","$50,008,339,565 "
25-Apr-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$91,733,321,074 ","$49,961,963,197 "
24-Apr-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$105,265,165,685 ","$49,426,761,825 "
23-Apr-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$200,928,310,345 ","$49,288,865,014 "
22-Apr-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$166,853,483,576 ","$49,325,346,964 "
21-Apr-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$130,529,572,776 ","$49,056,479,729 "
20-Apr-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$171,214,521,691 ","$48,686,983,805 "
19-Apr-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$169,646,878,924 ","$48,140,002,226 "
18-Apr-21,$1.01 ,$1.03 ,$1.00 ,$1.00 ,"$226,468,468,195 ","$48,080,200,312 "
17-Apr-21,$1.00 ,$1.01 ,$1.00 ,$1.01 ,"$178,501,336,545 ","$48,354,952,205 "
16-Apr-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$232,378,434,390 ","$46,981,343,646 "
15-Apr-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$134,206,127,794 ","$46,531,190,377 "
14-Apr-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$172,073,450,566 ","$45,928,655,478 "
13-Apr-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$137,132,738,350 ","$45,355,595,567 "
12-Apr-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$106,711,464,727 ","$44,447,108,385 "
11-Apr-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$100,277,986,732 ","$44,521,618,210 "
10-Apr-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$111,560,200,798 ","$44,397,226,113 "
9-Apr-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$86,500,025,530 ","$43,841,876,425 "
8-Apr-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$100,309,980,611 ","$43,647,092,968 "
7-Apr-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$161,005,666,625 ","$43,135,955,532 "
6-Apr-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$145,941,395,057 ","$43,062,968,453 "
5-Apr-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$132,303,093,446 ","$42,390,503,282 "
4-Apr-21,$1.00 ,$1.01 ,$1.00 ,$1.00 ,"$99,459,708,393 ","$42,503,862,984 "
3-Apr-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$109,584,392,991 ","$42,440,290,238 "
2-Apr-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$103,736,039,046 ","$41,708,271,322 "
1-Apr-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$108,310,288,784 ","$40,742,058,575 "
31-Mar-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$111,253,962,206 ","$40,723,981,487 "
30-Mar-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$82,702,790,409 ","$40,681,086,817 "
29-Mar-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$80,873,581,836 ","$40,467,698,670 "
28-Mar-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$69,313,550,904 ","$40,500,517,197 "
27-Mar-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$73,586,222,744 ","$40,185,072,295 "
26-Mar-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$82,935,770,974 ","$40,274,665,487 "
25-Mar-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$97,273,950,074 ","$40,329,456,619 "
24-Mar-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$97,177,670,255 ","$39,890,351,375 "
23-Mar-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$87,718,238,071 ","$39,702,747,918 "
22-Mar-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$86,052,511,859 ","$39,626,700,644 "
21-Mar-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$75,434,025,575 ","$39,567,651,238 "
20-Mar-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$78,910,215,980 ","$39,525,018,904 "
19-Mar-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$78,992,617,747 ","$39,311,262,206 "
18-Mar-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$87,360,030,730 ","$38,904,898,368 "
17-Mar-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$94,297,363,539 ","$38,660,244,602 "
16-Mar-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$101,176,062,799 ","$38,647,978,371 "
15-Mar-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$110,958,014,435 ","$38,529,973,461 "
14-Mar-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$83,527,066,354 ","$38,235,568,475 "
13-Mar-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$105,301,861,825 ","$38,224,664,052 "
12-Mar-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$99,392,797,660 ","$38,119,626,345 "
11-Mar-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$93,576,067,866 ","$37,514,467,151 "
10-Mar-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$94,996,172,814 ","$37,086,634,927 "
9-Mar-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$95,447,392,493 ","$36,818,376,521 "
8-Mar-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$88,859,705,060 ","$36,482,628,339 "
7-Mar-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$70,107,811,561 ","$36,472,973,682 "
6-Mar-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$66,739,320,404 ","$36,438,046,373 "
5-Mar-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$87,483,469,989 ","$36,394,667,328 "
4-Mar-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$103,244,765,110 ","$36,266,584,108 "
3-Mar-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$94,786,928,488 ","$35,886,328,358 "
2-Mar-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$92,797,362,841 ","$35,458,580,808 "
1-Mar-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$96,252,860,017 ","$35,068,760,205 "
28-Feb-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$106,489,914,975 ","$35,051,423,320 "
27-Feb-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$94,710,037,977 ","$35,024,034,646 "
26-Feb-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$124,624,106,848 ","$35,009,955,967 "
25-Feb-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$105,464,333,625 ","$34,927,984,531 "
24-Feb-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$129,007,383,618 ","$34,910,214,475 "
23-Feb-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$195,964,923,867 ","$34,762,222,903 "
22-Feb-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$169,690,403,440 ","$34,454,369,301 "
21-Feb-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$102,446,076,715 ","$34,268,903,481 "
20-Feb-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$137,486,320,908 ","$34,125,152,335 "
19-Feb-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$113,649,609,569 ","$33,537,929,874 "
18-Feb-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$94,966,568,287 ","$33,138,979,946 "
17-Feb-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$139,150,324,868 ","$32,428,113,699 "
16-Feb-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$141,032,763,591 ","$32,253,692,839 "
15-Feb-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$162,693,579,145 ","$32,097,723,612 "
14-Feb-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$138,353,850,761 ","$32,031,576,070 "
13-Feb-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$153,120,142,052 ","$31,614,848,889 "
12-Feb-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$147,107,216,422 ","$31,194,081,728 "
11-Feb-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$144,658,901,916 ","$30,738,990,767 "
10-Feb-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$167,294,523,848 ","$30,322,433,016 "
9-Feb-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$155,577,364,901 ","$29,791,218,141 "
8-Feb-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$156,718,232,410 ","$28,801,870,407 "
7-Feb-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$130,348,566,847 ","$28,640,986,239 "
6-Feb-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$121,039,422,025 ","$28,259,209,039 "
5-Feb-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$116,242,339,499 ","$27,792,866,868 "
4-Feb-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$130,071,476,669 ","$27,447,659,384 "
3-Feb-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$106,216,534,834 ","$27,049,305,333 "
2-Feb-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$112,355,343,051 ","$26,789,427,696 "
1-Feb-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$117,812,471,778 ","$26,618,802,808 "
31-Jan-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$101,327,508,212 ","$26,451,988,954 "
30-Jan-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$115,648,742,489 ","$26,373,892,015 "
29-Jan-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$183,670,639,698 ","$25,361,027,162 "
28-Jan-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$104,090,387,181 ","$25,441,086,456 "
27-Jan-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$105,901,637,306 ","$25,241,343,727 "
26-Jan-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$101,647,526,020 ","$25,000,596,908 "
25-Jan-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$101,158,851,200 ","$24,915,669,100 "
24-Jan-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$84,413,124,756 ","$24,852,549,111 "
23-Jan-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$80,722,167,203 ","$24,790,145,471 "
22-Jan-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$121,548,669,235 ","$24,762,073,399 "
21-Jan-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$125,636,003,892 ","$24,821,289,308 "
20-Jan-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$115,893,865,966 ","$24,764,314,271 "
19-Jan-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$103,734,629,698 ","$24,365,241,025 "
18-Jan-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$81,024,209,658 ","$24,371,700,755 "
17-Jan-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$91,132,972,168 ","$24,335,202,163 "
16-Jan-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$101,603,530,718 ","$24,294,865,189 "
15-Jan-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$112,214,718,054 ","$24,244,384,051 "
14-Jan-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$97,567,813,514 ","$24,234,096,940 "
13-Jan-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$98,217,076,295 ","$24,236,239,233 "
12-Jan-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$117,509,616,511 ","$24,242,336,790 "
11-Jan-21,$1.00 ,$1.00 ,$0.99 ,$1.00 ,"$180,779,058,885 ","$24,286,060,230 "
10-Jan-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$135,437,984,723 ","$24,229,726,419 "
9-Jan-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$103,292,241,007 ","$23,729,547,866 "
8-Jan-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$131,555,961,745 ","$23,457,770,452 "
7-Jan-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$129,467,601,516 ","$22,855,554,470 "
6-Jan-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$116,105,139,289 ","$22,154,599,221 "
5-Jan-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$101,918,715,244 ","$21,864,181,371 "
4-Jan-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$125,906,387,011 ","$21,811,422,497 "
3-Jan-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$120,425,679,796 ","$21,340,101,768 "
2-Jan-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$87,333,964,442 ","$21,218,363,937 "
1-Jan-21,$1.00 ,$1.00 ,$1.00 ,$1.00 ,"$60,509,986,287 ","$21,116,011,795 "
