Date,Open*,High,Low,Close**,Volume,Market Cap
9-Jun-21,$23.44 ,$25.23 ,$22.27 ,$25.13 ,"$697,734,988 ","$14,451,165,014 "
8-Jun-21,$24.28 ,$24.62 ,$20.74 ,$23.53 ,"$583,658,979 ","$13,532,527,083 "
7-Jun-21,$25.90 ,$27.34 ,$24.01 ,$24.20 ,"$479,599,704 ","$13,669,613,802 "
6-Jun-21,$25.65 ,$26.44 ,$25.42 ,$25.91 ,"$333,386,144 ","$14,639,766,965 "
5-Jun-21,$26.46 ,$27.68 ,$25.23 ,$25.61 ,"$448,910,761 ","$14,467,273,503 "
4-Jun-21,$28.68 ,$28.68 ,$25.15 ,$26.44 ,"$603,761,573 ","$14,939,106,881 "
3-Jun-21,$27.64 ,$29.36 ,$26.95 ,$28.63 ,"$541,834,896 ","$16,174,756,433 "
2-Jun-21,$27.41 ,$28.80 ,$26.38 ,$27.63 ,"$558,113,727 ","$15,632,142,982 "
1-Jun-21,$28.27 ,$28.72 ,$26.01 ,$27.40 ,"$753,430,864 ","$15,498,319,589 "
31-May-21,$25.72 ,$28.40 ,$23.46 ,$28.37 ,"$1,058,080,597 ","$16,049,165,498 "
30-May-21,$23.18 ,$26.56 ,$21.78 ,$25.74 ,"$782,067,312 ","$14,562,759,376 "
29-May-21,$25.90 ,$27.53 ,$21.85 ,$23.18 ,"$817,413,607 ","$13,112,600,565 "
28-May-21,$28.47 ,$29.40 ,$24.98 ,$25.92 ,"$1,076,488,584 ","$14,665,351,852 "
27-May-21,$29.45 ,$29.90 ,$26.22 ,$28.37 ,"$999,766,482 ","$16,048,671,760 "
26-May-21,$25.16 ,$29.37 ,$24.61 ,$29.37 ,"$1,071,924,820 ","$16,612,979,709 "
25-May-21,$24.66 ,$26.66 ,$21.62 ,$25.20 ,"$1,386,905,999 ","$14,251,999,516 "
24-May-21,$16.74 ,$25.13 ,$16.57 ,$24.63 ,"$1,526,035,442 ","$13,930,831,718 "
23-May-21,$20.38 ,$21.30 ,$13.09 ,$16.84 ,"$1,320,921,899 ","$9,523,322,177 "
22-May-21,$21.96 ,$22.36 ,$18.51 ,$20.38 ,"$791,748,160 ","$11,529,596,763 "
21-May-21,$26.36 ,$27.95 ,$18.90 ,$21.90 ,"$1,076,267,674 ","$12,370,229,171 "
20-May-21,$23.16 ,$28.45 ,$20.11 ,$26.39 ,"$1,338,078,607 ","$14,907,921,550 "
19-May-21,$35.07 ,$35.49 ,$16.67 ,$23.43 ,"$2,241,014,905 ","$13,232,347,122 "
18-May-21,$33.25 ,$36.58 ,$33.03 ,$35.07 ,"$842,688,704 ","$19,626,879,067 "
17-May-21,$36.56 ,$36.56 ,$32.01 ,$33.29 ,"$974,771,404 ","$18,627,184,854 "
16-May-21,$36.55 ,$39.38 ,$34.54 ,$36.56 ,"$822,738,819 ","$20,459,744,565 "
15-May-21,$40.40 ,$42.37 ,$36.58 ,$36.58 ,"$1,049,908,753 ","$20,468,517,878 "
14-May-21,$37.34 ,$40.83 ,$37.16 ,$40.33 ,"$804,342,782 ","$22,565,343,611 "
13-May-21,$36.96 ,$40.27 ,$34.48 ,$37.37 ,"$1,409,570,978 ","$20,910,665,137 "
12-May-21,$38.52 ,$44.00 ,$36.04 ,$36.04 ,"$1,851,746,863 ","$20,165,651,659 "
11-May-21,$36.35 ,$38.51 ,$35.50 ,$38.49 ,"$705,090,608 ","$20,145,048,858 "
10-May-21,$39.42 ,$41.13 ,$33.60 ,$36.39 ,"$952,681,487 ","$19,044,881,038 "
9-May-21,$40.47 ,$40.70 ,$38.24 ,$39.43 ,"$663,372,004 ","$20,637,058,035 "
8-May-21,$39.76 ,$41.23 ,$39.19 ,$40.41 ,"$743,543,345 ","$21,148,433,286 "
7-May-21,$40.23 ,$41.21 ,$38.34 ,$39.78 ,"$993,781,915 ","$20,821,823,128 "
6-May-21,$42.44 ,$42.50 ,$39.98 ,$40.22 ,"$1,165,197,475 ","$21,050,622,369 "
5-May-21,$43.08 ,$44.90 ,$41.58 ,$42.50 ,"$1,469,755,008 ","$22,241,834,864 "
4-May-21,$42.29 ,$44.56 ,$39.97 ,$43.16 ,"$1,714,504,137 ","$22,591,622,401 "
3-May-21,$42.56 ,$44.97 ,$41.33 ,$42.32 ,"$1,178,971,606 ","$22,148,327,831 "
2-May-21,$40.33 ,$43.24 ,$39.34 ,$42.33 ,"$1,047,562,019 ","$22,153,449,417 "
