Date,Open*,High,Low,Close**,Volume,Market Cap
9-Jun-21,$0.87 ,$0.92 ,$0.83 ,$0.92 ,"$3,990,884,688 ","$42,495,962,615 "
8-Jun-21,$0.86 ,$0.89 ,$0.79 ,$0.88 ,"$4,491,339,501 ","$40,452,252,991 "
7-Jun-21,$0.95 ,$0.97 ,$0.85 ,$0.86 ,"$3,466,113,432 ","$39,743,170,142 "
6-Jun-21,$0.92 ,$0.95 ,$0.92 ,$0.95 ,"$2,308,242,807 ","$43,625,920,335 "
5-Jun-21,$0.97 ,$1.00 ,$0.90 ,$0.92 ,"$3,257,149,049 ","$42,610,574,444 "
4-Jun-21,$1.05 ,$1.05 ,$0.92 ,$0.97 ,"$4,638,523,697 ","$44,775,529,764 "
3-Jun-21,$1.03 ,$1.08 ,$1.01 ,$1.05 ,"$3,661,357,809 ","$48,242,632,209 "
2-Jun-21,$1.01 ,$1.05 ,$0.98 ,$1.02 ,"$3,598,008,182 ","$47,277,113,120 "
1-Jun-21,$1.04 ,$1.10 ,$0.98 ,$1.01 ,"$5,606,414,479 ","$46,658,714,117 "
31-May-21,$0.91 ,$1.05 ,$0.88 ,$1.05 ,"$6,277,821,474 ","$48,293,159,732 "
30-May-21,$0.83 ,$0.93 ,$0.80 ,$0.91 ,"$4,077,064,725 ","$41,834,196,844 "
29-May-21,$0.90 ,$0.94 ,$0.80 ,$0.83 ,"$5,156,278,121 ","$38,381,695,413 "
28-May-21,$0.97 ,$0.98 ,$0.85 ,$0.90 ,"$6,082,828,979 ","$41,536,092,428 "
27-May-21,$1.03 ,$1.04 ,$0.94 ,$0.97 ,"$5,204,084,865 ","$44,770,121,605 "
26-May-21,$0.98 ,$1.07 ,$0.95 ,$1.03 ,"$6,376,977,398 ","$47,699,814,352 "
25-May-21,$0.99 ,$1.06 ,$0.88 ,$0.98 ,"$8,637,179,369 ","$45,044,780,046 "
24-May-21,$0.79 ,$1.00 ,$0.76 ,$0.99 ,"$8,239,461,926 ","$45,812,985,214 "
23-May-21,$0.91 ,$0.97 ,$0.65 ,$0.80 ,"$10,816,054,413 ","$36,770,599,361 "
22-May-21,$1.01 ,$1.02 ,$0.83 ,$0.91 ,"$8,750,076,614 ","$41,813,285,048 "
21-May-21,$1.18 ,$1.22 ,$0.87 ,$1.01 ,"$10,998,911,191 ","$46,457,226,450 "
20-May-21,$1.06 ,$1.27 ,$0.91 ,$1.19 ,"$13,626,658,452 ","$54,695,173,849 "
19-May-21,$1.59 ,$1.64 ,$0.88 ,$1.07 ,"$20,523,476,458 ","$37,576,904,035 "
18-May-21,$1.49 ,$1.70 ,$1.48 ,$1.59 ,"$14,847,139,298 ","$55,848,005,959 "
17-May-21,$1.45 ,$1.56 ,$1.33 ,$1.50 ,"$13,573,485,606 ","$52,532,601,631 "
16-May-21,$1.49 ,$1.61 ,$1.35 ,$1.45 ,"$12,405,363,634 ","$50,998,556,787 "
15-May-21,$1.40 ,$1.58 ,$1.32 ,$1.49 ,"$13,321,419,261 ","$52,166,765,091 "
14-May-21,$1.36 ,$1.44 ,$1.32 ,$1.40 ,"$7,570,332,417 ","$49,254,085,094 "
13-May-21,$1.27 ,$1.39 ,$1.21 ,$1.36 ,"$12,358,993,946 ","$47,709,058,585 "
12-May-21,$1.48 ,$1.54 ,$1.25 ,$1.25 ,"$9,272,699,846 ","$43,810,403,721 "
11-May-21,$1.39 ,$1.49 ,$1.36 ,$1.48 ,"$7,973,181,908 ","$51,878,958,424 "
10-May-21,$1.53 ,$1.63 ,$1.25 ,$1.39 ,"$11,181,774,844 ","$48,765,667,888 "
9-May-21,$1.56 ,$1.59 ,$1.44 ,$1.54 ,"$8,243,079,607 ","$53,901,564,262 "
8-May-21,$1.58 ,$1.63 ,$1.54 ,$1.56 ,"$6,349,608,020 ","$54,860,213,883 "
7-May-21,$1.60 ,$1.69 ,$1.51 ,$1.58 ,"$10,400,571,927 ","$55,532,777,769 "
6-May-21,$1.62 ,$1.76 ,$1.55 ,$1.60 ,"$16,099,528,279 ","$72,672,809,671 "
5-May-21,$1.39 ,$1.62 ,$1.37 ,$1.61 ,"$13,318,453,320 ","$73,305,328,518 "
4-May-21,$1.56 ,$1.56 ,$1.34 ,$1.39 ,"$12,855,752,789 ","$63,219,482,673 "
3-May-21,$1.56 ,$1.62 ,$1.53 ,$1.56 ,"$7,612,512,785 ","$70,648,428,004 "
2-May-21,$1.65 ,$1.66 ,$1.53 ,$1.56 ,"$6,933,641,361 ","$70,950,198,082 "
1-May-21,$1.60 ,$1.67 ,$1.53 ,$1.65 ,"$8,206,771,323 ","$74,963,184,004 "
30-Apr-21,$1.40 ,$1.64 ,$1.38 ,$1.59 ,"$14,160,854,005 ","$72,268,392,381 "
29-Apr-21,$1.36 ,$1.42 ,$1.33 ,$1.40 ,"$7,633,164,142 ","$63,536,572,211 "
28-Apr-21,$1.40 ,$1.45 ,$1.29 ,$1.36 ,"$9,272,726,011 ","$61,685,957,513 "
27-Apr-21,$1.37 ,$1.46 ,$1.33 ,$1.40 ,"$13,584,693,517 ","$63,608,983,019 "
26-Apr-21,$1.04 ,$1.37 ,$1.02 ,$1.37 ,"$15,417,459,290 ","$62,135,663,610 "
25-Apr-21,$1.05 ,$1.15 ,$0.95 ,$1.03 ,"$8,573,604,939 ","$46,868,572,793 "
24-Apr-21,$1.17 ,$1.17 ,$1.02 ,$1.05 ,"$8,586,287,312 ","$47,615,469,344 "
23-Apr-21,$1.16 ,$1.19 ,$0.90 ,$1.17 ,"$20,235,915,090 ","$53,107,262,635 "
22-Apr-21,$1.29 ,$1.41 ,$1.12 ,$1.16 ,"$14,899,537,552 ","$52,654,229,111 "
21-Apr-21,$1.39 ,$1.46 ,$1.28 ,$1.30 ,"$12,545,052,977 ","$58,866,221,974 "
20-Apr-21,$1.31 ,$1.45 ,$1.19 ,$1.38 ,"$15,562,116,615 ","$62,807,347,013 "
19-Apr-21,$1.41 ,$1.53 ,$1.26 ,$1.32 ,"$17,637,508,685 ","$59,708,309,820 "
18-Apr-21,$1.56 ,$1.58 ,$1.17 ,$1.41 ,"$22,933,939,682 ","$63,837,977,820 "
17-Apr-21,$1.55 ,$1.74 ,$1.54 ,$1.56 ,"$14,507,135,285 ","$70,832,766,981 "
16-Apr-21,$1.76 ,$1.81 ,$1.45 ,$1.56 ,"$20,594,074,869 ","$70,717,988,351 "
15-Apr-21,$1.84 ,$1.88 ,$1.66 ,$1.77 ,"$15,403,982,671 ","$80,186,544,122 "
14-Apr-21,$1.79 ,$1.96 ,$1.58 ,$1.84 ,"$29,025,829,007 ","$83,508,712,026 "
13-Apr-21,$1.47 ,$1.89 ,$1.42 ,$1.79 ,"$31,123,574,741 ","$81,454,889,101 "
12-Apr-21,$1.35 ,$1.47 ,$1.32 ,$1.47 ,"$13,216,559,312 ","$66,641,080,474 "
11-Apr-21,$1.37 ,$1.49 ,$1.31 ,$1.36 ,"$21,224,874,412 ","$61,773,544,985 "
10-Apr-21,$1.02 ,$1.39 ,$1.01 ,$1.37 ,"$25,547,794,935 ","$62,404,026,788 "
9-Apr-21,$1.05 ,$1.08 ,$0.99 ,$1.02 ,"$10,235,269,531 ","$46,350,091,394 "
8-Apr-21,$0.92 ,$1.07 ,$0.91 ,$1.05 ,"$12,888,349,509 ","$47,799,382,930 "
7-Apr-21,$1.10 ,$1.10 ,$0.87 ,$0.92 ,"$21,942,171,678 ","$41,661,654,118 "
6-Apr-21,$0.92 ,$1.12 ,$0.82 ,$1.10 ,"$36,955,175,105 ","$49,774,875,598 "
5-Apr-21,$0.65 ,$0.94 ,$0.63 ,$0.92 ,"$26,415,199,263 ","$41,793,184,885 "
4-Apr-21,$0.59 ,$0.65 ,$0.58 ,$0.65 ,"$4,613,898,769 ","$29,364,108,461 "
3-Apr-21,$0.62 ,$0.65 ,$0.59 ,$0.59 ,"$6,757,992,981 ","$26,829,923,528 "
2-Apr-21,$0.58 ,$0.62 ,$0.58 ,$0.62 ,"$5,404,854,336 ","$27,994,707,394 "
1-Apr-21,$0.57 ,$0.60 ,$0.56 ,$0.58 ,"$4,725,008,531 ","$26,302,184,999 "
31-Mar-21,$0.57 ,$0.58 ,$0.54 ,$0.57 ,"$4,849,764,990 ","$26,055,985,343 "
