Symbol,DATE,SP500
SP500,2019-06-11,2885.72
SP500,2019-06-12,2879.84
SP500,2019-06-13,2891.64
SP500,2019-06-14,2886.98
SP500,2019-06-17,2889.67
SP500,2019-06-18,2917.75
SP500,2019-06-19,2926.46
SP500,2019-06-20,2954.18
SP500,2019-06-21,2950.46
SP500,2019-06-24,2945.35
SP500,2019-06-25,2917.38
SP500,2019-06-26,2913.78
SP500,2019-06-27,2924.92
SP500,2019-06-28,2941.76
SP500,2019-07-01,2964.33
SP500,2019-07-02,2973.01
SP500,2019-07-03,2995.82
SP500,2019-07-04,
SP500,2019-07-05,2990.41
SP500,2019-07-08,2975.95
SP500,2019-07-09,2979.63
SP500,2019-07-10,2993.07
SP500,2019-07-11,2999.91
SP500,2019-07-12,3013.77
SP500,2019-07-15,3014.3
SP500,2019-07-16,3004.04
SP500,2019-07-17,2984.42
SP500,2019-07-18,2995.11
SP500,2019-07-19,2976.61
SP500,2019-07-22,2985.03
SP500,2019-07-23,3005.47
SP500,2019-07-24,3019.56
SP500,2019-07-25,3003.67
SP500,2019-07-26,3025.86
SP500,2019-07-29,3020.97
SP500,2019-07-30,3013.18
SP500,2019-07-31,2980.38
SP500,2019-08-01,2953.56
SP500,2019-08-02,2932.05
SP500,2019-08-05,2844.74
SP500,2019-08-06,2881.77
SP500,2019-08-07,2883.98
SP500,2019-08-08,2938.09
SP500,2019-08-09,2918.65
SP500,2019-08-12,2883.75
SP500,2019-08-13,2926.32
SP500,2019-08-14,2840.6
SP500,2019-08-15,2847.6
SP500,2019-08-16,2888.68
SP500,2019-08-19,2923.65
SP500,2019-08-20,2900.51
SP500,2019-08-21,2924.43
SP500,2019-08-22,2922.95
SP500,2019-08-23,2847.11
SP500,2019-08-26,2878.38
SP500,2019-08-27,2869.16
SP500,2019-08-28,2887.94
SP500,2019-08-29,2924.58
SP500,2019-08-30,2926.46
SP500,2019-09-02,
SP500,2019-09-03,2906.27
SP500,2019-09-04,2937.78
SP500,2019-09-05,2976.0
